Autore,Titolo,Editore,Genere,Scaffale,ISBN,Copertina,Note
Friedrich Nietzsche,Così parlò Zarathustra,Mondadori BMM,Filosofia,35,,,da verificare
Blaise Pascal,Pensées,,Filosofia,35,,,edizione - da verificare
,I Fioretti di San Francesco,BUR,Religione e spiritualità,35,,,edizione - da verificare
Boris Pasternak,Il dottor Živago,,Letteratura straniera,35,,,editore da verificare
Gaston Leroux,Le Fantôme de l'Opéra,Le Livre de Poche,Letteratura straniera,35,,,
Luigi Barzini,Avventure in Oriente,Mondadori,Saggistica varia,36,,,
,Rimborsare und Rivmelialien (edizione tedesca),,Saggistica varia,36,,,da verificare
Guido Piovene,Viaggio in Italia,Mondadori,"Viaggi, montagna ed esplorazioni",36,,,da verificare
C.W. Ceram,Civiltà sepolte,Einaudi,Saggistica varia,36,,,da verificare
A. Guerriero,Tempo perduto,Signorelli,Saggistica varia,36,,,da verificare
Omero,Iliade (scelta e note di Fraticelli-Rivieccio),Signorelli,Saggistica varia,36,,,da verificare
Albert Einstein,I fondamenti della relatività,,Scienza e matematica,36,,,da verificare
Hermann Kesten,Copernico,Mondadori,Scienza e matematica,36,,,da verificare
André Schwarz-Bart,L'ultimo dei Giusti,Feltrinelli,Saggistica varia,36,,,
Theodore von Kármán; M.A. Biot,Metodi matematici nell'ingegneria,Edizioni Scientifiche Einaudi,Scienza e matematica,36,,,da verificare
Galileo Galilei,Discorsi intorno a due nuove scienze,Boringhieri,Scienza e matematica,36,,,
Leonhard Euler,Lettere a una principessa tedesca,Boringhieri,Scienza e matematica,36,,,
Matteo Marangoni,Capire la musica,,"Arte, musica e fotografia",36,,,editore da verificare
E. Colerus,Piccola storia della matematica,Mondadori BMM,Scienza e matematica,36,,,da verificare
Richard Courant; Herbert Robbins,Che cos'è la matematica?,Boringhieri,Scienza e matematica,36,,,
,Dall'istruttoria alla fucilazione,Garzanti,Saggistica varia,36,,,autore da verificare
Carlo Levi,Il futuro ha un cuore antico,Einaudi,Letteratura italiana,36,,,da verificare
,Il Vangelo secondo Tommaso,Il Saggiatore,Religione e spiritualità,36,,,autore da verificare
Thomas Mann,I Buddenbrook,,Saggistica varia,36,,,editore da verificare
Vincenzo Cerosimo,Un ermellino a Cernopol (di Gregor von Rezzori),Rizzoli,"Biografie, diari e memorie",36,,,da verificare
,Shakespeare & Company (Beach),,Saggistica varia,36,,,da verificare
Eugène Ionesco,Il rinoceronte,,Scienza e matematica,36,,,editore da verificare
Platone,Processo e morte di Socrate,BUR,Filosofia,36,,,da verificare
Raimondo Lullo,Il libro del gentile e dei tre savi,,Saggistica varia,37,,,editore da verificare
Giovanni Franzoni,"Il diavolo, mio fratello",Gribaudi,Religione e spiritualità,37,,,da verificare
Enzo Biagi,Senza dire arrivederci,Rusconi,Storia e politica,37,,,da verificare
Umberto Eco,Il nome della rosa,Bompiani,Letteratura italiana,37,,,
Francesca Duranti,Lieto fine,Rizzoli,Letteratura italiana,37,,,da verificare
Erasmo Recami,Il caso Majorana,Mondadori,Saggistica varia,37,,,da verificare
Gibran Kahlil Gibran,Il profeta,Feltrinelli,Religione e spiritualità,37,,,da verificare
Stefano Benni,Il bar sotto il mare,Feltrinelli,Letteratura italiana,37,,,
Rita Levi-Montalcini,Elogio dell'imperfezione,Garzanti,Saggistica varia,37,,,
Anne Delbée,Una donna chiamata Camille Claudel,Longanesi,Saggistica varia,37,,,da verificare
Beryl Markham,Il magnifico ribelle,,Letteratura straniera,37,,,editore da verificare
Jacques Le Goff (a cura di),L'uomo medievale,Editori Laterza,Filosofia,37,,,
Umberto Eco,Il pendolo di Foucault,Bompiani,Letteratura italiana,37,,,
Philippe Sels,Un livre d'argile,,Saggistica varia,37,,,da verificare
Edmonde Charles-Roux,Dimenticare Palermo,Bompiani,Saggistica varia,37,,,da verificare
Marguerite Yourcenar,Ad occhi aperti (À voix nue),,Letteratura straniera,37,,,da verificare
Marchi,Non siamo più povera gente,RCS,Saggistica varia,37,,,da verificare
Linda Bimbi,Lettere a un amico,Marietti,Saggistica varia,37,,,da verificare
Arthur Miller,Il dramma del bambino prodigio,,Saggistica varia,37,,,editore da verificare
Massimo Nava,"Germania, Germania",Mondadori,Saggistica varia,37,,,da verificare
Bill McKibben,La fine della natura,,Saggistica varia,37,,,editore da verificare
Danny Peletto,(titolo da verificare),Garzanti,Saggistica varia,37,,,dorso poco leggibile
Chaim Potok,(titolo da verificare),,Letteratura straniera,37,,,dorso poco leggibile
L. Picciotto Fargion,Il libro della memoria,Mursia,Ebraismo e Israele,37,,,da verificare
Schalom Ben-Chorin,Fratello Gesù,,Religione e spiritualità,37,,,editore da verificare
Josef Imbach,Ist das nicht Josephs Sohn?,,Saggistica varia,37,,,da verificare
Giuseppe Barbaglio,Dio violento?,EDB,Religione e spiritualità,37,,,da verificare
Giuseppe Barbaglio,Paolo di Tarso e le origini cristiane,EDB,Religione e spiritualità,37,,,da verificare
Isaac B. Singer,(titolo da verificare),,Letteratura straniera,37,,,dorso poco leggibile
,La più bella avventura,EDB,Saggistica varia,38,,,autore da verificare
Primo Mazzolari,(gdt 207 - da verificare),EDB,Religione e spiritualità,38,,,dorso poco leggibile
Paul Kretzer,Nessun altro nome?,,Saggistica varia,38,,,da verificare
Simone Weil,L'ombra e la grazia,Rusconi,Filosofia,38,,,
Filalno,Tempo di uccidere (Adelphi),Adelphi,Saggistica varia,38,,,da verificare
Hermann Hesse,Siddharta,Adelphi,Letteratura straniera,38,,,
Primo Mazzolari,Una voce terapeutica,,Religione e spiritualità,38,,,da verificare
Giordano Bruno Guerri,Gli italiani sotto la Chiesa,Mondadori,Storia e politica,38,,,da verificare
Cristoforo Colombo,Uomo di mare,BUR Rizzoli,Religione e spiritualità,38,,,da verificare
Paolo Emilio Taviani,Cristoforo Colombo. La genesi della grande scoperta,,Religione e spiritualità,38,,,da verificare
Jean d'Ormesson,Il romanzo dell'Ebreo errante,RCS,Ebraismo e Israele,38,,,da verificare
AA.VV.,Gli Apocrifi,Piemme,Religione e spiritualità,38,,,da verificare
,Le Apocalissi gnostiche,Adelphi,Religione e spiritualità,38,,,autore da verificare
Paolo De Benedetti,Ciò che tarda avverrà,Marietti,Religione e spiritualità,38,,,da verificare
Jean Daniélou,I simboli cristiani primitivi,Edizioni Qiqajon,Religione e spiritualità,38,,,da verificare
E. Schweizer,Gesù Cristo. L'uomo di Nazareth e il Signore glorificato,Paideia,Religione e spiritualità,38,,,da verificare
,Nuovo Testamento. Il Vangelo secondo Marco,,Religione e spiritualità,38,,,autore da verificare
Arthur Schopenhauer,L'arte di ottenere ragione,Adelphi,Filosofia,38,,,da verificare
Gianni Riotta,Cambio di stagione,Feltrinelli,Saggistica varia,38,,,
André Schwarz-Bart,L'ultimo dei Giusti,Feltrinelli,Saggistica varia,38,,,possibile doppione (scaffale 36)
Quinzio,Dalla gola del leone,Adelphi,Religione e spiritualità,38,,,da verificare
Quinzio,Radici ebraiche del moderno,Adelphi,Ebraismo e Israele,38,,,da verificare
Uta Ranke-Heinemann,Così non sia,RCS,Saggistica varia,38,,,da verificare
A. Powell Davies,Oltre i limiti dello sviluppo,,Saggistica varia,38,,,dorso poco leggibile
Daniela Di Meola; Dennis L. Meadows; Jørgen Randers,God in Us / I limiti dello sviluppo,RCS,Saggistica varia,38,,,da verificare
Anthony Freeman,God in Us,,Saggistica varia,38,,,da verificare
Norman J. Cohen,Il libro di mia madre,Mondadori,Saggistica varia,38,,,da verificare
Rossana Ombres,Un Dio coperto di rose,RCS,Religione e spiritualità,38,,,da verificare
Hans Küng,Ebraismo,Rizzoli,Ebraismo e Israele,38,,,da verificare
Robert H. Eisenman; Michael Wise,Manoscritti segreti di Qumran,Piemme,Ebraismo e Israele,38,,,da verificare
Aurelio Lepre,"Italia, addio?",Mondadori,Storia e politica,38,,,da verificare
,(gdt 230 - da verificare),,Saggistica varia,38,,,dorso poco leggibile
,(gdt 197 - da verificare),,Saggistica varia,38,,,dorso poco leggibile
P. Spinucci,L'uomo e la storia in 'Four Quartets' di T.S. Eliot,,Storia e politica,39,,,da verificare
Philip Roth,Viaggio in Russia,Adelphi,Letteratura straniera,39,,,da verificare
Umberto Eco,L'isola del giorno prima,Bompiani,Letteratura italiana,39,,,
Milan Kundera,I testamenti traditi,Adelphi,Letteratura straniera,39,,,da verificare
Vitzhak Katzenelson,Il canto del popolo ebraico massacrato,Giuntina,Ebraismo e Israele,39,,,da verificare
Ferruccio Parazzoli,Io credo?,Piemme,Letteratura italiana,39,,,da verificare
Stanislaw Ulam,Avventure di un matematico,Sellerio,Scienza e matematica,39,,,da verificare
,Se mia madre (leggende ebraiche della vita),,Ebraismo e Israele,39,,,autore da verificare
Antonio Tabucchi,Sostiene Pereira,Feltrinelli,Letteratura italiana,39,,,
Patrick O'Brian,Primo comando,Longanesi,Letteratura straniera,39,,,da verificare
Louis Ginzberg,Le leggende degli ebrei (vol. I),Adelphi,Ebraismo e Israele,39,,,da verificare
Fernando Savater,Apostati ragionevoli,Il Mulino,Filosofia,39,,,da verificare
Raymond E. Brown,La concezione verginale e la risurrezione corporea di Gesù,,Religione e spiritualità,39,,,da verificare
Rudolf Bultmann,Nuovo Testamento e mitologia,,Religione e spiritualità,39,,,editore da verificare
Anthony de Mello,Messaggio per un'aquila che si crede un pollo,Piemme,Religione e spiritualità,39,,,da verificare
Renzo Fabris,L'olivo buono,Morcellana,Saggistica varia,39,,,da verificare
J. Nozipo Maraire,Zenzele,Mondadori,Letteratura straniera,39,,,da verificare
James Redfield,La profezia di Celestino,Corbaccio,Letteratura straniera,39,,,da verificare
Joëlle Désiré-Marchand,Les itinéraires d'Alexandra David-Néel,Arthaud,"Viaggi, montagna ed esplorazioni",39,,,da verificare
Claudine Le Tourneur d'Ison,Une passion égyptienne,Plon,Saggistica varia,39,,,da verificare
Jacques Duquesne,Jésus,DDB,Saggistica varia,39,,,da verificare
Hans Küng; Walter Kasper,Per un'etica mondale,,Religione e spiritualità,39,,,da verificare
José Saramago,Dal lucido ad ora (Lettere a Louis Jacques),La Nave di Teseo,Letteratura straniera,39,,,da verificare
Emanuele Severino,Cecità? / Pensieri sul cristianesimo,Rizzoli,Religione e spiritualità,39,,,da verificare
Elie Wiesel,Tutti i fiumi vanno al mare,Bompiani,Ebraismo e Israele,39,,,
Adriano Prosperi,Tribunali della coscienza,Einaudi,Scienza e matematica,39,,,
Riccardo Calimani,I destini e le avventure dell'intellettuale ebreo,Mondadori,Ebraismo e Israele,39,,,da verificare
Luis Sepúlveda,La frontiera scomparsa,Guanda,Letteratura straniera,39,,,da verificare
José Saramago,Il vangelo secondo Gesù Cristo,Einaudi,Letteratura straniera,40,,,
José Saramago,L'Évangile selon Jésus-Christ,Points,Letteratura straniera,40,,,da verificare
Amadou Hampâté Bâ,L'étrange destin de Wangrin,,Saggistica varia,40,,,da verificare
Raniero La Valle,Prima che l'amore finisca,,Religione e spiritualità,40,,,editore da verificare
Paolo Pejrone,In giardino non si è mai soli,Feltrinelli,Saggistica varia,40,,,da verificare
Giorgio Montefoschi,Dove comincia l'oriente,,Letteratura italiana,40,,,editore da verificare
Paolo Sacchi,Gesù e la sua gente,,Religione e spiritualità,40,,,da verificare
Ahmed Rashid,Nel cuore dell'Islam,Feltrinelli,Religione e spiritualità,40,,,da verificare
Aimé Pallière,(titolo da verificare),,Saggistica varia,40,,,dorso poco leggibile
Martin Rees,I sei numeri dell'universo,Rizzoli,Scienza e matematica,40,,,da verificare
Gilbert Sinoué,Il ragazzo di Bruges,,Letteratura straniera,40,,,editore da verificare
AA.VV.,La gioventù cattolica in cammino… (1792-1940),,Religione e spiritualità,40,,,da verificare
Åsne Seierstad,Le libraire de Kaboul,JC Lattès,"Viaggi, montagna ed esplorazioni",40,,,
Jean-Marie Rouart,Adieu à la France qui s'en va,Grasset,Saggistica varia,40,,,da verificare
Anna Maria Bruzzone; Rachele Farina,La Resistenza taciuta,,Storia e politica,40,,,da verificare
Gil Archi,Pia Pera. L'arte di un pellegrino,,Saggistica varia,40,,,da verificare
Erri De Luca,Il contrario di uno,Feltrinelli,Letteratura italiana,40,,,
Mario Rigoni Stern,Quota Albania,Einaudi,Letteratura italiana,40,,,
Mario Rigoni Stern,Il sergente nella neve / Ritorno sul Don,Einaudi,Letteratura italiana,40,,,da verificare
Peter Tompkins,Una spia a Roma,,Storia e politica,40,,,editore da verificare
David Grossman,Col corpo capisco,Mondadori,Letteratura straniera,40,,,da verificare
Lawrence Durrell,Justine,,Letteratura straniera,40,,,editore da verificare
Lawrence Durrell,Balthazar,,Letteratura straniera,40,,,editore da verificare
Lawrence Durrell,Mountolive,,Letteratura straniera,40,,,editore da verificare
Lawrence Durrell,Clea,,Letteratura straniera,40,,,editore da verificare
Mario Livio,La sezione aurea,Rizzoli,Scienza e matematica,40,,,
Nadia Fusini,I volti dell'amore,Mondadori,Saggistica varia,40,,,da verificare
Tracy Chevalier,La dama e l'unicorno,Neri Pozza,Letteratura straniera,40,,,da verificare
Pietro Citati,Israele e l'Islam,,Ebraismo e Israele,40,,,editore da verificare
Anthony Bailey,Il maestro di Delft,,Saggistica varia,40,,,editore da verificare
Andrea di Robilant,Un amore veneziano,,Saggistica varia,40,,,editore da verificare
Douglas Hofstadter,"Gödel, Escher, Bach",Adelphi,Scienza e matematica,40,,,da verificare
Eckhart Tolle,Un nuovo mondo,,Religione e spiritualità,41,,,editore da verificare
Gilberto Squizzato,Se il cielo adesso è vuoto,,Saggistica varia,41,,,editore da verificare
Massimo Livi Bacci,Per terre e per mari,Il Mulino,Saggistica varia,41,,,da verificare
Gianfranco Ravasi,Tre,,Religione e spiritualità,41,,,editore da verificare
Robert Badinter,L'exécution,Le Livre de Poche,Saggistica varia,41,,,da verificare
Selma Lagerlöf,L'imperatore di Portogallia,,Letteratura straniera,41,,,edizione - da verificare
Stefano Pisani,Non ce lo dicono! Manuale complottista di medicina molto alternativa,,Scienza e matematica,41,,,editore da verificare
Massimo Franco; Sergio Pagano,Secretum,,Saggistica varia,41,,,editore da verificare
Robert Badinter,Idiss,Le Livre de Poche,Saggistica varia,41,,,da verificare
Vito Mancuso,I quattro maestri,Garzanti,Religione e spiritualità,41,,,
A.B. Yehoshua,La sposa liberata,Einaudi,Letteratura straniera,41,,,da verificare
Luisa Muraro,Il Dio delle donne,,Religione e spiritualità,41,,,editore da verificare
Pavel Florenskij,Ai miei figli,Mondadori,Saggistica varia,41,,,da verificare
Alice Sebold,La Nostalgie de l'Ange,Nil,Saggistica varia,41,,,da verificare
,Sprezzatura. 50 Ways Italian Genius Shaped the World,,Storia e politica,41,,,autore da verificare
Marie Ferranti,La Principessa di Mantova,Corbaccio,Saggistica varia,41,,,da verificare
Gian Antonio Stella,Odissea,Rizzoli,Letteratura italiana,41,,,da verificare
Elena Loewenthal,Attese,,Ebraismo e Israele,41,,,editore da verificare
Sergio Romano,Anatomia del terrore,,Storia e politica,41,,,editore da verificare
Rainer Maria Rilke,Poesie,,Letteratura straniera,41,,,edizione - da verificare
Marcus du Sautoy,L'enigma dei numeri primi,Rizzoli,Scienza e matematica,41,,,possibile doppione (scaffali 16/20)
Antonia Arslan,La masseria delle allodole,Rizzoli,Saggistica varia,41,,,
Walter Bonatti,K2. La verità,,"Viaggi, montagna ed esplorazioni",41,,,editore da verificare
Åsne Seierstad,Diario da Baghdad,,"Viaggi, montagna ed esplorazioni",41,,,editore da verificare
Viviano Domenici,Le rotte del mondo,,Saggistica varia,41,,,da verificare
Michel Tournier,"Gaspard, Melchior & Balthazar",,Letteratura straniera,41,,,editore da verificare
,Libertin et chrétien,DDB,Saggistica varia,41,,,autore da verificare
Jean-Marie Rouart,La Vergine azzurra,,Saggistica varia,41,,,da verificare
Alessandro Baricco,"Omero, Iliade",Feltrinelli,Letteratura italiana,41,,,
Catherine Texier,Victorine,,Saggistica varia,41,,,editore da verificare
Antonietta Potente,La religiosità della vita,,Religione e spiritualità,41,,,da verificare
Walter Dörfler; Min Lee,Il magico mondo di Chimel,Piemme,Saggistica varia,41,,,da verificare
Rigoberta Menchú,Tsunami,,Saggistica varia,41,,,da verificare
Barbara Foster; Michael Foster,Le vie segrete di Alexandra David-Néel,,"Viaggi, montagna ed esplorazioni",41,,,da verificare
Robert Whitaker,La moglie del cartografo,Garzanti,Saggistica varia,41,,,da verificare
Ken Alder,La misura di tutte le cose,Rizzoli,Saggistica varia,41,,,da verificare
Albert Einstein,Ingenieur des Universums / Einstein's Leben und Werk im Kontext,,Scienza e matematica,42,,,da verificare
Susan Vreeland,La passione di Artemisia,Wiley-Vych,Letteratura straniera,42,,,possibile doppione (scaffale 28)
Amir D. Aczel,L'enigma della bussola,,Scienza e matematica,42,,,editore da verificare
Ayaan Hirsi Ali,Non sottomessa,Einaudi,Saggistica varia,42,,,da verificare
Martin Rees,(219 - da verificare),,Scienza e matematica,42,,,dorso poco leggibile
Federico Rampini,Il secolo cinese,Mondadori,Storia e politica,42,,,da verificare
Frederick Taylor,Dresda,,Saggistica varia,42,,,editore da verificare
Andrea Camilleri,Privo di titolo,Sellerio,Letteratura italiana,42,,,
Gian Antonio Stella,Il maestro magro,Rizzoli,Letteratura italiana,42,,,da verificare
Mario Livio,L'equazione impossibile,Rizzoli,Scienza e matematica,42,,,da verificare
Jean-Claude Carrière,La controversia di Valladolid,,Saggistica varia,42,,,da verificare
Romano Battaglia,Tetto murato,Rizzoli,Storia e politica,42,,,da verificare
Rosetta Loy,La bicicletta,La Stampa,Letteratura italiana,42,,,da verificare
Cesare Pavese,La luna e i falò,La Stampa,Letteratura italiana,42,,,da verificare
Toby Faber,Stradivari,La Stampa,"Arte, musica e fotografia",42,,,da verificare
Andrea Camilleri,La luna di carta,Sellerio,Letteratura italiana,42,,,da verificare
Folco Quilici,La fenice del Bajkal,Mondadori,Saggistica varia,42,,,da verificare
Erri De Luca,Sulla traccia di Nives,Mondadori,Letteratura italiana,42,,,da verificare
Alma Alexander,Le parole segrete di Jin-Shei,Sperling & Kupfer,Letteratura straniera,42,,,da verificare
Dava Sobel,I pianeti,Rizzoli,Saggistica varia,42,,,da verificare
Ahmed Ali,Crepuscolo a Delhi,,Saggistica varia,42,,,editore da verificare
Gilbert Sinoué,Una nave per l'inferno,,Letteratura straniera,42,,,editore da verificare
,Il supplizio del legno di sandalo (Mo Yan),Einaudi,Saggistica varia,42,,,da verificare
Franco Fornari,Il crimine dell'Occidente,,Storia e politica,42,,,editore da verificare
Tahar Ben Jelloun,L'ultimo amico,Einaudi,Letteratura straniera,42,,,da verificare
Amartya Sen,L'altra India,Mondadori,Storia e politica,42,,,da verificare
Angelo Del Boca,(volume - da verificare),,Storia e politica,42,,,dorso poco leggibile
Freeman Dyson,Lo scienziato come ribelle,,Scienza e matematica,43,,,editore da verificare
Rob Riemen,La nobiltà di spirito,Rizzoli,Saggistica varia,43,,,da verificare
Corrado Augias,I segreti del Vaticano,Mondadori,Religione e spiritualità,43,,,
Aldo Cazzullo,Viva l'Italia!,Mondadori,Storia e politica,43,,,da verificare
Marco Bianchi,Ogni cosa alla sua stagione,,Saggistica varia,43,,,editore da verificare
Giordano Bruno Guerri,Il sangue del Sud,Mondadori,Storia e politica,43,,,da verificare
Brian Greene,Icaro ai confini del tempo,Codice,Scienza e matematica,43,,,da verificare
Piergiorgio Odifreddi,C'è spazio per tutti,Mondadori,Scienza e matematica,43,,,da verificare
Margherita Hack; Viviano Domenici,Notte di stelle,Sperling & Kupfer,Scienza e matematica,43,,,da verificare
Annamaria Testa,La trama lucente,Rizzoli,Saggistica varia,43,,,da verificare
Kitty Ferguson,La musica di Pitagora,,Scienza e matematica,43,,,editore da verificare
Dominique Lapierre,India mon amour,,Saggistica varia,43,,,editore da verificare
Dominique Lapierre; Larry Collins,Stanotte la libertà,Mondadori,Saggistica varia,43,,,da verificare
Dominique Lapierre,La città della gioia,Feltrinelli,Saggistica varia,43,,,da verificare
Hannah Arendt,La banalità del male,Feltrinelli,Saggistica varia,43,,,
Klyentse Norbu,Sei sicuro di non essere buddhista?,Feltrinelli,Religione e spiritualità,43,,,da verificare
Walter Isaacson,Einstein,Mondadori,Scienza e matematica,43,,,da verificare
Carlo Fruttero; Massimo Gramellini,"La patria, bene o male",Mondadori,Saggistica varia,43,,,da verificare
John Reader,Africa,,Storia e politica,43,,,editore da verificare
Carlo Maria Martini,Le età della vita,Mondadori,Religione e spiritualità,43,,,da verificare
Michael Hanlon,Eternità,,Saggistica varia,43,,,editore da verificare
Ghassan A. Sayegh,21 Giorni,,Saggistica varia,43,,,editore da verificare
Indro Montanelli,L'Italia del Risorgimento,Rizzoli,Storia e politica,43,,,da verificare
Lawrence Krauss,L'uomo dei quanti,,Scienza e matematica,43,,,editore da verificare
Tobagi,Come mi batte forte il tuo cuore,,Saggistica varia,43,,,da verificare
Corrado Stajano,Un eremo non è un guscio di lumaca,Einaudi,Saggistica varia,43,,,da verificare
Ugo Riccarelli,Caro Papa ti scrivo,,Saggistica varia,43,,,da verificare
Italo Calvino,Il barone rampante,Mondadori,Letteratura italiana,43,,,possibile doppione (scaffale 28)
Michela Murgia,Ave Mary,Einaudi,Letteratura italiana,44,,,da verificare
Guido Ceronetti,(titolo da verificare),,Saggistica varia,44,,,dorso poco leggibile
Francis Younghusband,Everest. The Challenge,,"Viaggi, montagna ed esplorazioni",44,,,da verificare
Richard Panek,L'universo oscuro,,Scienza e matematica,44,,,editore da verificare
Richard Muller,Fisica per i presidenti del futuro,BUR,Scienza e matematica,44,,,da verificare
Virginia Woolf,Una stanza tutta per sé,,Letteratura straniera,44,,,edizione - da verificare
Richard Conniff,I cercatori di specie,,Scienza e matematica,44,,,editore da verificare
Mario Bonfante,La discarica degli angeli,,Saggistica varia,44,,,da verificare
David Foster Wallace,"Tutto, e di più",,Scienza e matematica,44,,,editore da verificare
Sven Hedin,Von Pol zu Pol,,"Viaggi, montagna ed esplorazioni",44,,,da verificare
Alberto Molinari,Scarfoi,,Saggistica varia,44,,,da verificare
,A Lhasa e oltre,,"Viaggi, montagna ed esplorazioni",44,,,autore da verificare
,Nepal: alla scoperta di un paese,,"Viaggi, montagna ed esplorazioni",44,,,autore da verificare
,La via dello Swat,,"Viaggi, montagna ed esplorazioni",44,,,autore da verificare
Senofonte,Anabasi. Elleniche,Newton Compton,Saggistica varia,44,,,da verificare
Roberta De Monticelli,La questione civile,Raffaello Cortina,Saggistica varia,44,,,da verificare
Federico Rampini,Alla mia sinistra,Mondadori,Storia e politica,44,,,da verificare
Silvia Avallone,Acciaio,Rizzoli,Letteratura italiana,44,,,
Richard Reeves,Una forza della natura,,Saggistica varia,44,,,editore da verificare
AA.VV.,Dizionario dell'Olocausto (vol. A-L),La Biblioteca di Repubblica,Ebraismo e Israele,44,,,da verificare
AA.VV.,Dizionario dell'Olocausto (vol. M-Z),La Biblioteca di Repubblica,Ebraismo e Israele,44,,,da verificare
Ann Gibbons,Il primo uomo,Einaudi,Saggistica varia,44,,,da verificare
,Jankélévitch-Berlowitz. Da qualche parte nell'incompiuto,,Saggistica varia,44,,,da verificare
Jane Goodall,L'ombra dell'uomo,,Saggistica varia,44,,,editore da verificare
David Quammen,L'evoluzionista riluttante,,Scienza e matematica,44,,,editore da verificare
Vito Mancuso,Obbedienza e libertà,,Religione e spiritualità,44,,,editore da verificare
Ian Stewart,(4 - da verificare),,Scienza e matematica,44,,,dorso poco leggibile
Andrea Wulf,L'eleganza di Venere,,Saggistica varia,44,,,da verificare
Lara Merlati,Prepariamoci (a morire),,Saggistica varia,44,,,da verificare
Kamalakar Mishra,Tantra,Laksmi,Religione e spiritualità,44,,,da verificare
David Lindley,Incertezza,Einaudi,Saggistica varia,44,,,da verificare
Paul Davies,Uno strano silenzio,,Scienza e matematica,44,,,editore da verificare
Emanuele Coltorti; Mauro Pelosini,Quadrivium,Sironi Editore,"Arte, musica e fotografia",45,,,da verificare
Eugenio Scalfari,La passione dell'etica,Mondadori,Storia e politica,45,,,da verificare
Terrence W. Deacon,Natura incompleta,,Scienza e matematica,45,,,editore da verificare
Lidi Dostojan,Pandolmi cosmi sapienti,,Saggistica varia,45,,,da verificare
Lance Henson,Sand Creek,,Saggistica varia,45,,,da verificare
Anita Nair,L'arte di dimenticare,,Letteratura straniera,45,,,editore da verificare
Carlo Maria Martini; Georg Sporschill,Conversazioni con Carlo Maria Martini,,Religione e spiritualità,45,,,da verificare
Michio Kaku,Fisica del futuro,Codice,Scienza e matematica,45,,,da verificare
,MicroMega 7/2012. La Chiesa gerarchica e la Chiesa di Dio,MicroMega,Religione e spiritualità,45,,,rivista - da verificare
,206 (Kader Abdolah?),,Saggistica varia,45,,,dorso poco leggibile
Simon Lavington (Editor),Alan Turing and His Contemporaries,,Saggistica varia,45,,,da verificare
Dimitar Sasselov,Un'altra Terra,Codice,Scienza e matematica,45,,,da verificare
Anton Zeilinger,La danza dei fotoni,,Scienza e matematica,45,,,editore da verificare
Elena Ferrante,Cronache del mal d'amore,e/o,Letteratura italiana,45,,,da verificare
Enrico Berlinguer; Eugenio Scalfari,La questione morale,,Storia e politica,45,,,da verificare
Rachel Joyce,L'imprevedibile viaggio di Harold Fry,,Letteratura straniera,45,,,editore da verificare
Luigi Sandri,Cronache dal futuro,,Saggistica varia,45,,,da verificare
Antonio Baldo,Qualcosa resta comunque,,Saggistica varia,45,,,da verificare
Raimon Panikkar,Lo spirito e le sue peripezie,Jaca Book,Religione e spiritualità,45,,,da verificare
Maciej Bielawski,Panikkar. Un uomo e il suo pensiero,,Filosofia,45,,,da verificare
Gregory Chaitin,Darwin alla prova,,Scienza e matematica,45,,,editore da verificare
,Storia di Barlaam e Ioasaf,Rusconi,Storia e politica,45,,,autore da verificare
Ian Tattersall,I signori del pianeta,,Saggistica varia,45,,,editore da verificare
Raimon Panikkar,Cristofania (Opera Omnia),Jaca Book,Religione e spiritualità,45,,,da verificare
Richard Muller,Energia per i presidenti del futuro,BUR,Scienza e matematica,45,,,da verificare
